Transcript stable ID	HGNC symbol
ENST00000631737	TRAPPC12
ENST00000618798	NCR1
ENST00000622262	NCR1
ENST00000615417	NCR1
ENST00000619741	NCR1
ENST00000612994	NCR1
ENST00000618725	NCR1
ENST00000620721	NCR1
ENST00000613253	NCR1
ENST00000369222	PPIAL4F
ENST00000610861	KIR3DL3
ENST00000623898	ZNF85
ENST00000625004	ZNF85
ENST00000615882	ZNF85
ENST00000624588	ZNF85
ENST00000624369	ZNF85
ENST00000615320	ZNF85
ENST00000615413	ZNF85
ENST00000623537	ZNF85
ENST00000613159	ZNF85
ENST00000612293	ZNF85
ENST00000620498	KIR3DS1
ENST00000620611	KIR3DS1
ENST00000621881	KIR3DP1
ENST00000614653	KIR2DL4
ENST00000615970	KIR2DL4
ENST00000619424	KIR2DL1
ENST00000613226	PIWIL1
ENST00000632888	PIWIL1
ENST00000634077	PIWIL1
ENST00000633272	PIWIL1
ENST00000633252	PIWIL1
ENST00000634115	PIWIL1
ENST00000633042	PIWIL1
ENST00000631528	PIWIL1
ENST00000631714	PIWIL1
ENST00000613298	FCAR
ENST00000618985	FCAR
ENST00000617766	FCAR
ENST00000620603	FCAR
ENST00000619385	FCAR
ENST00000610397	FCAR
ENST00000618805	FCAR
ENST00000619626	FCAR
ENST00000618082	FCAR
ENST00000620873	FCAR
ENST00000612815	FCAR
ENST00000616340	FCAR
ENST00000620822	FCAR
ENST00000611434	KIR2DL4
ENST00000620961	KIR2DL4
ENST00000619771	KIR2DS4
ENST00000629200	SNTG2
ENST00000627321	SNTG2
ENST00000625507	SNTG2
ENST00000630403	SNTG2
ENST00000575017	OR9G4
ENST00000615930	ZNF66
ENST00000623857	ZNF66
ENST00000452874	ZNF66
ENST00000573911	OR9G1
ENST00000571130	OR9G9
ENST00000613313	KIR3DL3
ENST00000617398	KIR3DL2
ENST00000610914	KIR3DL2
ENST00000630089	TPO
ENST00000629774	TPO
ENST00000627010	TPO
ENST00000627917	TPO
ENST00000628844	TPO
ENST00000625313	TPO
ENST00000625793	TPO
ENST00000626753	TPO
ENST00000626995	TPO
ENST00000630235	TPO
ENST00000628333	TPO
ENST00000629421	TPO
ENST00000617910	TPO
ENST00000622050	TPO
